Data Point #,Motor Speed [RPM],Manometer delta P [dpsi],Ambient Temp.[R],Viscosity [slug/ft s],Ambient Press. [psia],Omega Transmitter delta P [dpsi],RakeT1 [psid],RakeT2 [psid],RakeT3 [psid],RakeT4 [psid],RakeT5 [psid],RakeT6 [psid],RakeT7 [psid],RakeT8 [psid],RakeT9 [psid],RakeS1 [psid],RakeS2 [psid],RakeS3 [psid],RakeS4 [psid],RakeS5 [psid],AverageTotal [psid],AverageStatic [psid],AverageDynamic [psid]
1.00E+00,4.00E+02,5.78E-03,5.31E+02,3.81E-07,1.41E+01,5.51E-03,4.55E-03,4.46E-03,4.49E-03,4.60E-03,4.59E-03,4.59E-03,4.48E-03,4.46E-03,4.43E-03,7.30E-05,1.21E-04,6.13E-05,5.61E-05,1.45E-05,4.52E-03,6.53E-05,4.45E-03
2.00E+00,5.00E+02,9.03E-03,5.32E+02,3.81E-07,1.41E+01,8.92E-03,7.52E-03,7.39E-03,7.40E-03,7.47E-03,7.54E-03,7.54E-03,7.46E-03,7.45E-03,7.50E-03,1.43E-04,2.74E-04,1.53E-04,1.64E-04,1.33E-04,7.47E-03,1.74E-04,7.30E-03
3.00E+00,6.00E+02,1.30E-02,5.32E+02,3.81E-07,1.41E+01,1.30E-02,1.11E-02,1.10E-02,1.10E-02,1.11E-02,1.11E-02,1.12E-02,1.10E-02,1.10E-02,1.10E-02,1.82E-04,3.37E-04,1.73E-04,1.58E-04,9.73E-05,1.11E-02,1.89E-04,1.09E-02
4.00E+00,7.00E+02,1.84E-02,5.33E+02,3.82E-07,1.41E+01,1.84E-02,1.58E-02,1.56E-02,1.56E-02,1.57E-02,1.58E-02,1.59E-02,1.56E-02,1.56E-02,1.56E-02,2.69E-04,4.71E-04,2.81E-04,3.01E-04,1.71E-04,1.57E-02,2.99E-04,1.54E-02
5.00E+00,8.00E+02,2.46E-02,5.33E+02,3.82E-07,1.41E+01,2.46E-02,2.14E-02,2.11E-02,2.12E-02,2.13E-02,2.14E-02,2.15E-02,2.12E-02,2.12E-02,2.11E-02,2.89E-04,6.01E-04,3.17E-04,3.65E-04,1.72E-04,2.13E-02,3.49E-04,2.09E-02
6.00E+00,9.00E+02,3.14E-02,5.33E+02,3.82E-07,1.41E+01,3.09E-02,2.75E-02,2.72E-02,2.72E-02,2.74E-02,2.75E-02,2.77E-02,2.72E-02,2.73E-02,2.73E-02,4.44E-04,8.33E-04,4.87E-04,4.63E-04,3.23E-04,2.74E-02,5.10E-04,2.69E-02
7.00E+00,1.00E+03,3.94E-02,5.33E+02,3.82E-07,1.41E+01,3.92E-02,3.48E-02,3.45E-02,3.46E-02,3.47E-02,3.49E-02,3.51E-02,3.45E-02,3.46E-02,3.44E-02,3.68E-04,8.48E-04,4.58E-04,5.08E-04,2.65E-04,3.47E-02,4.89E-04,3.42E-02
8.00E+00,1.10E+03,4.84E-02,5.33E+02,3.82E-07,1.41E+01,4.71E-02,4.18E-02,4.14E-02,4.14E-02,4.15E-02,4.18E-02,4.20E-02,4.14E-02,4.15E-02,4.12E-02,9.64E-04,1.53E-03,1.03E-03,1.11E-03,7.99E-04,4.15E-02,1.09E-03,4.05E-02
9.00E+00,1.20E+03,5.71E-02,5.33E+02,3.82E-07,1.41E+01,5.64E-02,5.08E-02,5.04E-02,5.03E-02,5.05E-02,5.09E-02,5.11E-02,5.03E-02,5.05E-02,5.02E-02,5.38E-04,1.21E-03,5.75E-04,7.78E-04,2.58E-04,5.06E-02,6.72E-04,4.99E-02
1.00E+01,1.30E+03,6.68E-02,5.33E+02,3.82E-07,1.41E+01,6.59E-02,5.98E-02,5.94E-02,5.93E-02,5.95E-02,5.99E-02,6.02E-02,5.93E-02,5.95E-02,5.94E-02,1.13E-04,9.68E-04,2.31E-04,4.70E-04,-1.91E-04,5.96E-02,3.18E-04,5.93E-02
1.10E+01,1.40E+03,7.77E-02,5.32E+02,3.81E-07,1.41E+01,7.65E-02,6.89E-02,6.84E-02,6.83E-02,6.85E-02,6.90E-02,6.93E-02,6.82E-02,6.84E-02,6.83E-02,6.09E-04,1.62E-03,7.32E-04,1.01E-03,2.86E-04,6.86E-02,8.52E-04,6.77E-02
